bridge_id,bridge_no,original_bridge_no,bridge_name,original_link,corrected_link,original_region,corrected_region,original_station,corrected_station,original_lon,original_lat,source_lon,source_lat,corrected_lon,corrected_lat,correction_distance_km,correction_method,audit_status,evidence,safe_attribute_defaults_applied
bridge-42,B544,B020,Nyamwamba Bridge,A005_Link13,A005_Link13,Southern,Southern,Kasese,Kasese,30.100704,0.191362,30.105,0.19445,30.100704,0.191362,0,Placed by bridge chainage along exact host road link geometry after latitude-sign-corrected-source-coordinate,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-43,B020,X101,Lopei Irish Crossing,B301_Link01,B301_Link01,North Eastern,North Eastern,Kotido,Kotido,34.34093,2.572513,34.341084,2.572684,34.34093,2.572513,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-44,B387,B021,Kaseiga,B152_Link04,B152_Link04,Southern,Southern,Kasese,Kasese,30.07876,-0.175658,30.0863,-0.1735,30.07876,-0.175658,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-45,B021,B021,Iriri Mpcs,B303_Link03,B303_Link03,North Eastern,North Eastern,Moroto,Moroto,34.222484,2.097629,34.22258,2.09746,34.222484,2.097629,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-46,B022,B022,Mpondwe Bridge,A005_Link15,A005_Link15,Southern,Southern,Kasese,Kasese,29.72021,0.04122,29.720169,0.041108,29.72021,0.04122,0,Placed by bridge chainage along exact host road link geometry after latitude-sign-corrected-source-coordinate,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-47,B388,X103,Bunamubi Bridge,C867_Link02,C867_Link02,Eastern,Eastern,Mbale,Mbale,34.339568,1.002206,34.371941,1.0276,34.339568,1.002206,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-48,B023,B023,Kafu Bridge,A006_Link06,A006_Link06,Central,Central,Luwero,Luwero,32.412008,1.335146,32.041771,1.54265,32.412008,1.335146,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-49,B389,X136,Dopeth Irish Crossing,C575_Link01,C575_Link01,Western,Western,Fort Portal,Fort Portal,30.30627,1.005546,34.02877,3.01139,30.30627,1.005546,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-50,B024,B024,Titi,C677_Link02,A006_Link08,Northern,Western,Kitgum,Masindi,32.020889,1.826092,32.020741,1.82617,32.020889,1.826092,0,Placed by bridge chainage along exact host road link geometry after swapped-source-coordinate,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-51,B890,X137,Agago Irish Crossing,C677_Link02,B302_Link02,Northern,Northern,Kitgum,Kitgum,33.547611,2.722019,33.547661,2.72239,33.547611,2.722019,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
