bridge_id,bridge_number,bridge_name,host_link_id,road_link_name,road_class,region,station,corrected_longitude,corrected_latitude,chainage_from_start_of_road_km,missing_attribute_count,missing_attributes,safe_attribute_defaults_applied,legacy_backfill_field_count,legacy_backfill_sources,location_audit_status
bridge-447,B870,Wasita,C862_Link01,Namagumba - Budadiri,C,Eastern,Mbale,34.335592,1.170617,18.4,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,3,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 449; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 363; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 363,Placed on exact national road host link
bridge-448,B871,Road Over River,B304_Link02,Kapchorwa-Suam,B,Eastern,Mbale,34.559562,1.412882,44.157,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,2,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 450; river: Historical Bridges 18062025.xlsx::Bridges row 397,Placed on exact national road host link
bridge-449,B872,Siti,B304_Link02,Kapchorwa-Suam,B,Eastern,Mbale,34.662858,1.336452,69.979,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,3,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 451; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 365; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 365,Placed on exact national road host link
bridge-450,B873,Girik,C889_Link01,Chepsikunya -Girik,C,Eastern,Mbale,34.71723,1.449245,26,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 452,Placed on exact national road host link
bridge-451,B874,Bukwo,B304_Link02,Kapchorwa-Suam,B,Eastern,Mbale,34.743208,1.264127,98.69,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,6,comment: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 435 latest 2023-06-19; km: Historical Bridges 18062025.xlsx::Bridges row 400; river: Historical Bridges 18062025.xlsx::Bridges row 400; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 367; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 367; _mdb_2015_capture: BMS_Data2015_UNRA_Capture111.mdb,Placed on exact national road host link
bridge-452,B877,Suam Bridge,B304_Link02,Kapchorwa-Suam,B,Eastern,Mbale,34.743203,1.264085,98.695,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,km: Historical Bridges 18062025.xlsx::Bridges row 403; river: Historical Bridges 18062025.xlsx::Bridges row 403; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 370; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 370,Placed on exact national road host link
bridge-453,B878,Amudat - Loroo,C963_Link02,Lokitanyara-Loro-Amudat,C,North Eastern,Moroto,34.820883,2.380458,28.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,3,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 455; river: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 371; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 371,Placed on exact national road host link
bridge-454,B880,Kotido-Kailong,B302_Link01,Kotido - Abim,B,North Eastern,Kotido,34.035384,3.012864,5.3,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,2,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 456; river: Historical Bridges 18062025.xlsx::Bridges row 405,Placed on exact national road host link
bridge-455,B881,Musukule,C844_Link01,Rubongi - Mulanda,C,Eastern,Tororo,34.019997,0.691743,16,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 457,Placed on exact national road host link
bridge-456,B882,Adeyo,C836_Link02,Mulanda - Nagongera,C,Eastern,Tororo,34.023419,0.754539,26,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,2,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 458; river: Historical Bridges 18062025.xlsx::Bridges row 407,Placed on exact national road host link
bridge-457,B883,Okame,B306_Link01,Tororo(Malaba junction) - Busia,B,Eastern,Tororo,34.093801,0.476283,23,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,9,comment: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 228 latest 2018-11-16; new_bridge_no: Historical Hosea bridge workbook::bridges_hosea row 19; abutment_l: Historical Hosea bridge workbook::bridges_hosea row 19; abutment_r: Historical Hosea bridge workbook::bridges_hosea row 19; year_compl: Historical Hosea bridge workbook::bridges_hosea row 19; pave_age: Historical Hosea bridge workbook::bridges_hosea row 19; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 376; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 376; _mdb_2015_capture: BMS_Data2015_UNRA_Capture111.mdb,Placed on exact national road host link
bridge-458,B884,Akatenyani,B306_Link01,Tororo(Malaba junction) - Busia,B,Eastern,Tororo,34.093801,0.476283,23,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,3,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 460; flow: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 377; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 377,Placed on exact national road host link
bridge-459,B885,Angolo,B306_Link01,Tororo(Malaba junction) - Busia,B,Eastern,Tororo,34.089703,0.468289,24,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,6,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 461; new_bridge_no: Historical Hosea bridge workbook::bridges_hosea row 40; abutment_l: Historical Hosea bridge workbook::bridges_hosea row 40; abutment_r: Historical Hosea bridge workbook::bridges_hosea row 40; year_compl: Historical Hosea bridge workbook::bridges_hosea row 40; pave_age: Historical Hosea bridge workbook::bridges_hosea row 40,Placed on exact national road host link
bridge-460,B886,Kwakiteza,C306_Link01,Luwero-Kiwoko-Butalangu,C,Central,Luwero,32.244949,0.823386,28.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 266 latest 2022-10-01; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 379; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 379; _mdb_2015_capture: BMS_Data2015_UNRA_Capture111.mdb,Placed on exact national road host link
bridge-461,B887,Nataracha Bridge,C992_Link01,Kapelimoru-Loyoro - Apaan,C,North Eastern,Kotido,34.139265,3.313196,49,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,40,km: Historical Bridges 18062025.xlsx::Bridges row 412; river: Historical Bridges 18062025.xlsx::Bridges row 412; no_of_span: Historical Bridges 18062025.xlsx::Bridges row 412; no_of_pier: Historical Bridges 18062025.xlsx::Bridges row 412; no_of_exp_joints: Historical Bridges 18062025.xlsx::Bridges row 412; no_of_lane: Historical Bridges 18062025.xlsx::Bridges row 412; waterway_rating: Historical Bridge condition rating 2022.xlsx::Bridges row 411; substructure_rating: Historical Bridge condition rating 2022.xlsx::Bridges row 411; superstructure_rating: Historical Bridge condition rating 2022.xlsx::Bridges row 411; roadway_rating: Historical Bridge condition rating 2022.xlsx::Bridges row 411; approaches_rating: Historical Bridge condition rating 2022.xlsx::Bridges row 411; owner: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; district_council: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; flow: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; town_left: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; town_right: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_bridge: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_deck: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_deck_material: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_piers: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_para_rail: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_wearing_surface: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_exp_joints: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; approach_slab: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; abutment_gallery: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; type_bearings: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; superload_route: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; weight_load_restr: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; scour_protection: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; scour_risk: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; bridge_len: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; bridge_wid: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; width_between_para_rail: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; min_bridge_roadway_width: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; approach_roadway_width: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; traffic_flow_directions: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 380,Placed on exact national road host link
bridge-462,B376,Namboole B1,M20,Kampala NorthernBypass,M,Central,Kampala,32.65356,0.34894,0,15,Crossing Feature / River Name; Bridge Type; Deck Type; Deck Material; Abutment Type; Pier Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Number Of Lanes; Bridge Length; Bridge Width,,0,,Placed on exact national road host link
bridge-463,B385,Old Kira Road Over Bridge,M20,Kampala NorthernBypass,M,Central,Kampala,32.624709,0.368988,5.156,14,Bridge Type; Deck Type; Deck Material; Abutment Type; Pier Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Number Of Lanes; Bridge Length; Bridge Width,,0,,Placed on exact national road host link
bridge-464,B386,Ntinda Foot Bridge,M20,Kampala NorthernBypass,M,Central,Kampala,32.610435,0.366989,6.809,14,Bridge Type; Deck Type; Deck Material; Abutment Type; Pier Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Number Of Lanes; Bridge Length; Bridge Width,,0,,Placed on exact national road host link
bridge-465,B398,Ntinda B1,M20,Kampala NorthernBypass,M,Central,Kampala,32.604677,0.364987,7.512,15,Crossing Feature / River Name; Bridge Type; Deck Type; Deck Material; Abutment Type; Pier Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Number Of Lanes; Bridge Length; Bridge Width,,0,,Placed on exact national road host link
bridge-466,B400,Ntinda B2,M20,Kampala NorthernBypass,M,Central,Kampala,32.605139,0.365363,7.44,15,Crossing Feature / River Name; Bridge Type; Deck Type; Deck Material; Abutment Type; Pier Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Number Of Lanes; Bridge Length; Bridge Width,,0,,Placed on exact national road host link
bridge-467,B403,Bukoto-Kisasi Over Bridge,M20,Kampala NorthernBypass,M,Central,Kampala,32.598497,0.358724,8.574,14,Bridge Type; Deck Type; Deck Material; Abutment Type; Pier Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Number Of Lanes; Bridge Length; Bridge Width,,0,,Placed on exact national road host link
bridge-468,B404,Bukoto-Kyebando B1 Rhs,M20,Kampala NorthernBypass,M,Central,Kampala,32.588896,0.352818,9.935,15,Crossing Feature / River Name; Bridge Type; Deck Type; Deck Material; Abutment Type; Pier Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Number Of Lanes; Bridge Length; Bridge Width,,0,,Placed on exact national road host link
